MGI_ID	HGNC_ID	Window_Category	pLI	pRec
MGI:2143628	HGNC:23035	Late-gestation	0.99744	0.0025628
MGI:105090	HGNC:11051	Late-gestation	8.977e-15	0.64289
MGI:1202717	HGNC:9508	Late-gestation	0.97322	0.026779
MGI:2385276	HGNC:23297	Late-gestation	0.035511	0.93198
MGI:95721	HGNC:4285	Late-gestation	0.0021767	0.77014
MGI:104606	HGNC:16519	Late-gestation	5.4311e-07	0.87126
MGI:1860188	HGNC:11174	Late-gestation	0.24928	0.72452
MGI:1890645	HGNC:13386	Late-gestation	0.88018	0.11981
MGI:1921895	HGNC:24712	Late-gestation	0.94762	0.052222
MGI:1928750	HGNC:9763	Late-gestation	0.98913	0.01087
MGI:1932404	HGNC:15673	Late-gestation	1	3.6386e-13
MGI:2147790	HGNC:23151	Late-gestation	0.00026014	0.99971
MGI:2679270	HGNC:23713	Late-gestation	0.99624	0.0037566
MGI:2679336	HGNC:21637	Late-gestation	0.99999	8.0908e-06
MGI:95751	HGNC:4329	Late-gestation	0.0014157	0.99726
MGI:97531	HGNC:8804	Late-gestation	0.9041	0.095903
MGI:98282	HGNC:11241	Late-gestation	0.98206	0.017927
MGI:1914596	HGNC:18142	Late-gestation	0.99918	0.0008246
MGI:3026965	HGNC:23526	Late-gestation	0.83258	0.1674
MGI:1351351	HGNC:1514	Late-gestation	0.046698	0.9533
MGI:2144157	HGNC:12621	Late-gestation	0.55212	0.44788
MGI:107460	HGNC:2280	Late-gestation	0.12065	0.78818
MGI:107979	HGNC:6321	Late-gestation	0.99153	0.0084747
MGI:109529	HGNC:9964	Late-gestation	0.99985	0.0001539
MGI:1920942	HGNC:25801	Late-gestation	5.8778e-36	1
MGI:2145317	HGNC:25818	Late-gestation	0.015373	0.98458
MGI:2652847	HGNC:19027	Late-gestation	0.94398	0.056015
MGI:94869	HGNC:2701	Late-gestation	0.99448	0.0055201
MGI:1194993	HGNC:3037	Late-gestation	2.2848e-21	0.0064974
MGI:2682307	HGNC:25555	Late-gestation	0.99892	0.0010825
